model_id,provider,prompt,shots,temperature,reasoning,close_precision,close_recall,close_f1,exact_precision,exact_recall,exact_f1
qwen/qwen3-32b,openrouter,matrix-decomposition,0,1,enabled,0.1809,0.3062,0.2274,0.1348,0.2450,0.1739
Qwen3.8-27B,psnc,strict-minimal,0,1,disabled,0.1725,0.3337,0.2274,0.1338,0.2780,0.1806
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,1,1,not_applicable,0.1896,0.2807,0.2263,0.1619,0.2493,0.1963
DeepSeek-V4-Flash,psnc,constraint-decomposition,0,1,not_applicable,0.1924,0.2732,0.2258,0.1417,0.2144,0.1706
GLM-5.2,psnc,strict-minimal,0,0,disabled,0.1694,0.3365,0.2254,0.1363,0.2876,0.1849
mistralai/ministral-8b-2512,openrouter,strict-minimal,0,0.5,not_applicable,0.1861,0.2814,0.2240,0.1541,0.2445,0.1890
Qwen3.8-27B,psnc,constraint-decomposition,0,1,disabled,0.1706,0.3221,0.2230,0.1301,0.2635,0.1742
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,5,0,not_applicable,0.2059,0.2421,0.2226,0.1811,0.2182,0.1979
qwen/qwen3-32b,openrouter,matrix-decomposition,0,0,enabled,0.1722,0.3114,0.2218,0.1287,0.2512,0.1702
openai/gpt-4o-mini,openrouter,matrix-decomposition,1,0,not_applicable,0.1832,0.2807,0.2217,0.1496,0.2402,0.1843
mistralai/ministral-8b-2512,openrouter,constraint-decomposition,0,0,not_applicable,0.1661,0.3314,0.2213,0.1271,0.2720,0.1732
mistralai/ministral-8b-2512,openrouter,strict-minimal,0,0,not_applicable,0.1909,0.2630,0.2212,0.1524,0.2208,0.1804
qwen/qwen3-32b,openrouter,matrix-decomposition,0,0.5,disabled,0.1771,0.2886,0.2195,0.1411,0.2428,0.1785
mistralai/ministral-8b-2512,openrouter,constraint-decomposition,0,1,not_applicable,0.1683,0.3148,0.2193,0.1303,0.2603,0.1736
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,0,1,not_applicable,0.1798,0.2797,0.2189,0.1505,0.2449,0.1864
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,5,0.5,not_applicable,0.2368,0.2031,0.2187,0.1821,0.1627,0.1719
mistralai/ministral-8b-2512,openrouter,constraint-decomposition,1,0.5,not_applicable,0.1744,0.2900,0.2178,0.1405,0.2462,0.1789
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,5,0.5,not_applicable,0.2084,0.2243,0.2161,0.1789,0.1972,0.1876
qwen/qwen3-32b,openrouter,strict-minimal,1,1,disabled,0.1672,0.3028,0.2155,0.1273,0.2465,0.1679
qwen/qwen3-32b,openrouter,constraint-decomposition,0,0.5,enabled,0.1484,0.3856,0.2144,0.1111,0.3169,0.1645
qwen/qwen3-32b,openrouter,matrix-decomposition,0,0.5,enabled,0.1590,0.3276,0.2141,0.1193,0.2656,0.1647
mistralai/ministral-8b-2512,openrouter,constraint-decomposition,0,0.5,not_applicable,0.1636,0.3085,0.2138,0.1294,0.2604,0.1729
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,5,0,not_applicable,0.2223,0.2032,0.2123,0.1775,0.1687,0.1730
qwen/qwen3-32b,openrouter,strict-minimal,0,1,enabled,0.1612,0.3105,0.2122,0.1207,0.2503,0.1629
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,5,0.5,not_applicable,0.2289,0.1973,0.2119,0.1862,0.1657,0.1753
qwen/qwen3-32b,openrouter,strict-minimal,0,0.5,disabled,0.1679,0.2761,0.2089,0.1381,0.2377,0.1747
qwen/qwen3-32b,openrouter,constraint-decomposition,0,1,disabled,0.1611,0.2896,0.2071,0.1273,0.2422,0.1669
openai/gpt-4o-mini,openrouter,matrix-decomposition,1,0.5,not_applicable,0.1698,0.2645,0.2068,0.1399,0.2275,0.1732
openai/gpt-4o-mini,openrouter,constraint-decomposition,1,0.5,not_applicable,0.1694,0.2649,0.2066,0.1328,0.2190,0.1653
mistralai/ministral-8b-2512,openrouter,strict-minimal,1,1,not_applicable,0.1811,0.2385,0.2059,0.1417,0.1956,0.1643
openai/gpt-4o-mini,openrouter,matrix-decomposition,1,1,not_applicable,0.1661,0.2594,0.2025,0.1340,0.2192,0.1663
mistralai/ministral-8b-2512,openrouter,strict-minimal,1,0.5,not_applicable,0.1851,0.2226,0.2021,0.1472,0.1841,0.1636
openai/gpt-4o-mini,openrouter,constraint-decomposition,1,0,not_applicable,0.1680,0.2526,0.2018,0.1280,0.2032,0.1570
mistralai/ministral-8b-2512,openrouter,constraint-decomposition,1,1,not_applicable,0.1623,0.2595,0.1997,0.1205,0.2046,0.1517
qwen/qwen3-32b,openrouter,strict-minimal,0,0.5,enabled,0.1528,0.2840,0.1987,0.1123,0.2238,0.1496
GLM-5.2,psnc,strict-minimal,0,1,disabled,0.1462,0.3082,0.1983,0.1173,0.2617,0.1620
qwen/qwen3-32b,openrouter,constraint-decomposition,0,0,disabled,0.1506,0.2870,0.1975,0.1193,0.2400,0.1594
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,5,0,not_applicable,0.2081,0.1852,0.1960,0.1855,0.1675,0.1761
qwen/qwen3-32b,openrouter,strict-minimal,0,0,disabled,0.1670,0.2340,0.1949,0.1296,0.1902,0.1542
openai/gpt-4o-mini,openrouter,strict-minimal,1,0.5,not_applicable,0.1639,0.2380,0.1941,0.1261,0.1926,0.1524
openai/gpt-4o-mini,openrouter,strict-minimal,1,1,not_applicable,0.1632,0.2390,0.1940,0.1298,0.1987,0.1570
qwen/qwen3-32b,openrouter,constraint-decomposition,0,0.5,disabled,0.1418,0.2895,0.1903,0.1068,0.2334,0.1466
openai/gpt-4o-mini,openrouter,strict-minimal,1,0,not_applicable,0.1589,0.2299,0.1879,0.1327,0.1985,0.1591
openai/gpt-4o-mini,openrouter,constraint-decomposition,1,1,not_applicable,0.1536,0.2420,0.1879,0.1228,0.2021,0.1528
mistralai/ministral-8b-2512,openrouter,strict-minimal,1,0,not_applicable,0.1621,0.2169,0.1856,0.1309,0.1823,0.1524
openai/gpt-4o-mini,openrouter,constraint-decomposition,0,1,not_applicable,0.1470,0.2329,0.1802,0.1080,0.1806,0.1351
qwen/qwen3-32b,openrouter,strict-minimal,0,1,disabled,0.1483,0.2169,0.1762,0.1228,0.1855,0.1478
openai/gpt-4o-mini,openrouter,constraint-decomposition,0,0,not_applicable,0.1367,0.2238,0.1697,0.1001,0.1727,0.1268
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,5,1,not_applicable,0.1823,0.1563,0.1683,0.1563,0.1369,0.1460
openai/gpt-4o-mini,openrouter,strict-minimal,0,1,not_applicable,0.1376,0.2089,0.1659,0.1034,0.1646,0.1271
openai/gpt-4o-mini,openrouter,strict-minimal,0,0,not_applicable,0.1355,0.2089,0.1644,0.0925,0.1517,0.1149
openai/gpt-4o-mini,openrouter,matrix-decomposition,0,0.5,not_applicable,0.1375,0.2018,0.1636,0.0926,0.1444,0.1128
openai/gpt-4o-mini,openrouter,constraint-decomposition,0,0.5,not_applicable,0.1321,0.2130,0.1630,0.0951,0.1619,0.1199
openai/gpt-4o-mini,openrouter,matrix-decomposition,0,0,not_applicable,0.1319,0.1964,0.1578,0.0888,0.1404,0.1088
openai/gpt-4o-mini,openrouter,matrix-decomposition,0,1,not_applicable,0.1433,0.1739,0.1571,0.1045,0.1323,0.1168
openai/gpt-4o-mini,openrouter,strict-minimal,0,0.5,not_applicable,0.1226,0.2004,0.1521,0.0935,0.1595,0.1179
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,3,0,not_applicable,0.2185,0.1102,0.1465,0.1890,0.0964,0.1277
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,3,0,not_applicable,0.2375,0.1038,0.1445,0.1955,0.0864,0.1199
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,5,1,not_applicable,0.1937,0.1149,0.1442,0.1661,0.0988,0.1239
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,3,0,not_applicable,0.1545,0.1103,0.1287,0.1283,0.0933,0.1081
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,3,0.5,not_applicable,0.1688,0.1027,0.1277,0.1346,0.0832,0.1029
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,5,1,not_applicable,0.1488,0.1110,0.1271,0.1164,0.0882,0.1004
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,3,1,not_applicable,0.2159,0.0858,0.1228,0.1707,0.0687,0.0979
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,3,0.5,not_applicable,0.1499,0.1032,0.1222,0.1195,0.0839,0.0986
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,1,0,not_applicable,0.1231,0.1053,0.1135,0.1039,0.0902,0.0966
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,0,0,not_applicable,0.1074,0.1165,0.1118,0.0901,0.0988,0.0942
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,1,1,not_applicable,0.1254,0.0809,0.0984,0.1001,0.0652,0.0790
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,0,0,not_applicable,0.1021,0.0926,0.0971,0.0767,0.0710,0.0737
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,3,0.5,not_applicable,0.1662,0.0665,0.0950,0.1379,0.0555,0.0792
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,3,1,not_applicable,0.1180,0.0714,0.0889,0.0944,0.0579,0.0718
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,0,0.5,not_applicable,0.1043,0.0772,0.0887,0.0895,0.0667,0.0765
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,1,0.5,not_applicable,0.0901,0.0866,0.0883,0.0756,0.0737,0.0747
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,1,0.5,not_applicable,0.1229,0.0640,0.0842,0.1205,0.0628,0.0826
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,1,0,not_applicable,0.0775,0.0863,0.0816,0.0654,0.0735,0.0692
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,0,1,not_applicable,0.1108,0.0643,0.0814,0.0992,0.0579,0.0731
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,0,0,not_applicable,0.1224,0.0555,0.0763,0.0971,0.0442,0.0607
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,0,0.5,not_applicable,0.1070,0.0587,0.0758,0.0792,0.0439,0.0565
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,1,1,not_applicable,0.0921,0.0525,0.0669,0.0807,0.0461,0.0587
meta-llama/llama-3.1-8b-instruct,openrouter,strict-minimal,1,0,not_applicable,0.0561,0.0612,0.0585,0.0494,0.0541,0.0516
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,0,1,not_applicable,0.0834,0.0421,0.0559,0.0750,0.0378,0.0503
meta-llama/llama-3.1-8b-instruct,openrouter,constraint-decomposition,3,1,not_applicable,0.1068,0.0367,0.0546,0.1068,0.0367,0.0546
meta-llama/llama-3.1-8b-instruct,openrouter,matrix-decomposition,1,1,not_applicable,0.0498,0.0245,0.0329,0.0498,0.0245,0.0329
